date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:46	83366/83366	---MCZ	200	added ('OK')	text/html	etag:W/%22145a6-567e7a60578df%22	http://fvdthemes.com/html/dentalclinic/index.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/index.html	(from )
16:42:46	285/285	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Nov%202018%2011:12:46%20GMT	http://fvdthemes.com/robots.txt		(from )
16:42:47	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225809884d-47e%22	http://fvdthemes.com/html/dentalclinic/images/favicon.ico	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/favicon.ico	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:47	320/320	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Nov%202018%2011:12:47%20GMT	http://fvdthemes.com/html/dentalclinic/images/apple-touch-icon.png	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/apple-touch-icon.png	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:47	326/326	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Nov%202018%2011:12:47%20GMT	http://fvdthemes.com/html/dentalclinic/images/apple-touch-icon-72x72.png	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/apple-touch-icon-72x72.png	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:48	328/328	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Nov%202018%2011:12:48%20GMT	http://fvdthemes.com/html/dentalclinic/images/apple-touch-icon-114x114.png	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/apple-touch-icon-114x114.png	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:48	987/987	---MCZ	200	added ('OK')	text/css	etag:W/%225ab211cc-3db%22	http://fvdthemes.com/html/dentalclinic/css/master.css	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/css/master.css	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:50	2450/2450	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225809884d-992%22	http://fvdthemes.com/html/dentalclinic/images/logo.svg	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/logo.svg	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:50	6706/6706	---M--	200	added ('OK')	image/gif	etag:%225809884d-1a32%22	http://fvdthemes.com/html/dentalclinic/images/preloader.gif	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/images/preloader.gif	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:51	29199/29199	---MCZ	200	added ('OK')	text/html	etag:W/%22720f-567e7a505fd3a%22	http://fvdthemes.com/html/dentalclinic/about.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/about.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:51	21780/21780	---MCZ	200	added ('OK')	text/html	etag:W/%225514-567e7a642cfff%22	http://fvdthemes.com/html/dentalclinic/services.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/services.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:51	42360/42360	---MCZ	200	added ('OK')	text/html	etag:W/%22a578-567e7a5c06695%22	http://fvdthemes.com/html/dentalclinic/doctors.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/doctors.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:52	41850/41850	---MCZ	200	added ('OK')	text/html	etag:W/%22a37a-567e7a5a823a5%22	http://fvdthemes.com/html/dentalclinic/doctor.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/doctor.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
16:42:52	29218/29218	---MCZ	200	added ('OK')	text/html	etag:W/%227222-567e7a544c0ef%22	http://fvdthemes.com/html/dentalclinic/blog1.html	C:/Users/Jinadi/OneDrive/Documents/dental%20clinic/fvdthemes.com/html/dentalclinic/blog1.html	(from http://fvdthemes.com/html/dentalclinic/index.html)
